order_id,customer_id,order_date,order_amount,status
ORD-1786976310996-C588D130,CUST-00657,2026-04-14T06:11:51.358Z,410.18,DELIVERED
ORD-1786976310997-3DCCFCBF,CUST-00794,2026-05-11T00:06:55.940Z,374.41,SHIPPED
ORD-1786976310997-05CAAF04,CUST-00821,2025-11-04T16:08:39.925Z,254.03,CANCELLED
ORD-1786976310998-5BC151CB,CUST-00308,2025-08-11T22:44:18.928Z,499.75,SHIPPED
ORD-1786976310998-F7E8153E,CUST-00906,2026-03-31T13:00:56.613Z,168.87,DELIVERED
ORD-1786976310998-0679C89E,CUST-00146,2026-03-06T03:55:14.208Z,196.13,COMPLETED
ORD-1786976310998-F451A56C,CUST-00745,2025-04-18T17:13:24.365Z,56.31,COMPLETED
ORD-1786976310998-4F6594CF,CUST-00410,2026-04-11T05:35:22.679Z,336.97,COMPLETED
ORD-1786976310998-D8B34EB2,CUST-00300,2026-01-09T20:47:44.502Z,280.10,CANCELLED
ORD-1786976310998-34C78C1B,CUST-00323,2025-07-03T04:54:47.751Z,143.27,SHIPPED
ORD-1786976310998-2B00F6EE,CUST-00612,2026-06-15T22:55:43.688Z,309.33,PENDING
ORD-1786976310998-46B03C91,CUST-00365,2026-07-26T02:04:47.605Z,184.19,SHIPPED
ORD-1786976310998-2CB35297,CUST-00258,2025-04-13T16:27:50.106Z,307.03,CANCELLED
ORD-1786976310998-0A3D70DA,CUST-00343,2026-07-05T07:48:36.135Z,15.49,SHIPPED
ORD-1786976310998-2548F8C3,CUST-00747,2025-12-08T10:40:33.332Z,414.97,CANCELLED
ORD-1786976310998-13BF0692,CUST-00617,2026-01-27T19:15:50.887Z,364.48,CANCELLED
ORD-1786976310998-9FD90261,CUST-00849,2025-10-08T15:44:39.310Z,100.42,PENDING
ORD-1786976310998-63DCE269,CUST-00159,2025-04-13T16:32:48.648Z,125.28,SHIPPED
ORD-1786976310998-9C2313FF,CUST-00335,2026-02-15T02:23:30.115Z,337.45,COMPLETED
ORD-1786976310998-F5D75C5A,CUST-00180,2025-08-23T16:12:53.653Z,336.37,CANCELLED
ORD-1786976310998-B509B50D,CUST-00289,2025-03-19T04:32:11.645Z,145.46,SHIPPED
ORD-1786976310998-90E0F83A,CUST-00744,2025-05-27T03:10:33.663Z,475.98,PENDING
ORD-1786976310998-EB609926,CUST-00084,2026-02-04T02:45:38.394Z,61.49,COMPLETED
ORD-1786976310998-8B46FB96,CUST-00457,2025-05-18T03:03:56.740Z,55.18,SHIPPED
