order_id,customer_id,order_date,order_amount,status
ORD-1786976374043-A3A8D7F6,CUST-00004,2025-01-25T16:38:00.938Z,290.21,CANCELLED
ORD-1786976374045-640B09C6,CUST-00933,2025-09-17T12:19:54.727Z,410.95,CANCELLED
ORD-1786976374045-D78D755A,CUST-00131,2025-03-10T03:59:55.452Z,192.28,DELIVERED
ORD-1786976374045-26E0444B,CUST-00142,2026-03-28T19:13:32.303Z,109.57,CANCELLED
ORD-1786976374045-FAA64DCE,CUST-00815,2025-06-13T09:43:25.806Z,51.55,COMPLETED
ORD-1786976374045-73F59947,CUST-00150,2026-06-05T12:31:08.866Z,258.37,CANCELLED
ORD-1786976374045-29AA1C30,CUST-00149,2026-02-20T16:57:05.312Z,334.04,SHIPPED
ORD-1786976374045-F3925D38,CUST-00924,2025-07-03T03:16:13.800Z,123.70,SHIPPED
ORD-1786976374045-8ECCFB50,CUST-00472,2025-12-04T11:15:33.736Z,149.54,PROCESSING
ORD-1786976374045-3B93AA81,CUST-00314,2025-12-27T02:04:23.684Z,398.82,COMPLETED
ORD-1786976374045-24CE9ED6,CUST-00707,2025-11-27T08:22:51.914Z,128.97,PROCESSING
ORD-1786976374045-FAF56850,CUST-00679,2025-12-24T09:13:40.838Z,365.98,CANCELLED
ORD-1786976374045-3DD5ADFE,CUST-00950,2026-04-07T02:42:58.922Z,434.50,COMPLETED
ORD-1786976374045-464C215C,CUST-00046,2026-07-17T12:26:56.312Z,163.92,DELIVERED
ORD-1786976374045-F80817C9,CUST-00406,2025-10-29T12:19:15.419Z,175.35,SHIPPED
ORD-1786976374045-F7BD59B6,CUST-00200,2025-08-30T20:04:50.298Z,315.41,PROCESSING
ORD-1786976374045-D777DFFF,CUST-00364,2026-06-14T10:19:25.445Z,159.87,CANCELLED
ORD-1786976374045-BE1F3937,CUST-00237,2025-05-10T13:13:43.171Z,17.02,PROCESSING
ORD-1786976374045-63527432,CUST-00641,2026-02-19T05:09:32.456Z,488.57,SHIPPED
ORD-1786976374045-48D86EEB,CUST-00556,2026-06-08T12:40:16.241Z,58.27,SHIPPED
ORD-1786976374045-BF2B9EF1,CUST-00225,2026-06-14T18:33:36.425Z,43.00,PENDING
ORD-1786976374045-CE69C7F7,CUST-00160,2026-03-23T20:03:53.460Z,33.61,DELIVERED
ORD-1786976374045-8CA53A80,CUST-00763,2025-02-23T22:29:01.525Z,243.47,SHIPPED
ORD-1786976374045-201B77B4,CUST-00425,2025-01-15T12:44:33.381Z,463.84,COMPLETED
ORD-1786976374046-C9A1D5CB,CUST-00536,2025-10-04T21:13:33.172Z,221.24,PENDING
ORD-1786976374046-509FD593,CUST-00783,2025-12-19T14:31:21.251Z,312.73,CANCELLED
ORD-1786976374046-F800672E,CUST-00219,2025-11-09T16:49:10.650Z,298.17,COMPLETED
ORD-1786976374046-A9B9703B,CUST-00626,2025-11-16T00:05:03.818Z,181.72,COMPLETED
ORD-1786976374046-B4849C9C,CUST-00504,2026-04-03T01:04:49.671Z,377.40,SHIPPED
ORD-1786976374046-10FD0573,CUST-00265,2025-03-14T19:06:23.195Z,389.09,COMPLETED
ORD-1786976374046-8F33910B,CUST-00150,2025-06-08T07:56:03.685Z,306.43,PENDING
ORD-1786976374046-9330B2CC,CUST-00316,2026-03-06T20:23:08.470Z,241.43,SHIPPED
ORD-1786976374046-418BBCCC,CUST-00288,2026-06-23T15:51:40.203Z,93.28,COMPLETED
ORD-1786976374046-32AD1C16,CUST-00285,2026-02-27T03:15:39.884Z,252.23,PENDING
ORD-1786976374046-55E0BDC8,CUST-00280,2025-02-03T22:50:23.654Z,397.67,PENDING
ORD-1786976374046-9836CA22,CUST-00054,2025-12-30T20:48:32.668Z,294.89,COMPLETED
ORD-1786976374046-0E4F7C49,CUST-00383,2025-01-24T16:06:32.664Z,263.73,PENDING
ORD-1786976374046-6D76269C,CUST-00833,2025-04-02T07:31:27.018Z,74.03,PROCESSING
ORD-1786976374046-C2E00C98,CUST-00975,2026-05-13T04:11:51.476Z,502.61,PROCESSING
ORD-1786976374046-7026B987,CUST-00461,2025-06-14T15:14:38.568Z,368.57,SHIPPED
ORD-1786976374046-6583F2D0,CUST-00934,2025-04-29T07:33:53.124Z,245.24,COMPLETED
ORD-1786976374046-1260B543,CUST-00729,2025-04-27T23:39:29.466Z,327.24,DELIVERED
ORD-1786976374046-F6BF9D58,CUST-00871,2025-05-31T15:29:48.276Z,146.71,DELIVERED
ORD-1786976374046-2EFFA52D,CUST-00781,2025-01-13T08:08:04.725Z,131.44,SHIPPED
ORD-1786976374046-D9D8D459,CUST-00755,2025-01-16T01:38:53.534Z,104.86,DELIVERED
